outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,carb_fiber_ratio_z,0.8644507527848178,0.1507059356490338,5.736009992320165,9.69329450747781e-09,0.5690671189127114,1.159834386656924,1497,40,7,4.240816347021541e-08,"0.864 (0.569, 1.160)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,msi_centered,1.3521105884948388,0.3514585032880934,3.8471414856806088,0.00011950396395439779,0.6632519220501757,2.040969254939502,1497,40,7,0.00024364885854780133,"1.352 (0.663, 2.041)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,load_x_msi,0.9940011949654787,0.23301072691270197,4.265903154483886,1.9909513645637554e-05,0.5373001702165828,1.4507022197143744,1497,40,7,5.098777884858398e-05,"0.994 (0.537, 1.451)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,baseline_glucose_z,-0.449847145257111,0.13804851641174964,-3.2586162962836696,0.0011195697843732742,-0.7204222374241402,-0.1792720530900817,1497,40,7,0.0019924547010032843,"-0.450 (-0.720, -0.179)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,meal_hour_sin,0.2239962443765302,0.21637214283661627,1.0352360587641403,0.3005586827775417,-0.20009315558323765,0.6480856443362981,1497,40,7,0.36484001955655354,"0.224 (-0.200, 0.648)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,meal_hour_cos,-0.11252214502725799,0.14770238295344915,-0.761816720741203,0.44616939940964395,-0.4020188156160183,0.17697452556150234,1497,40,7,0.5204808583268217,"-0.113 (-0.402, 0.177)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,Intercept,52.34015609263251,3.561749588426884,14.695069036492697,6.932779604459334e-49,45.35912689931582,59.321185285949205,1497,40,7,4.852945723121534e-47,"52.340 (45.359, 59.321)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,carb_fiber_ratio_z,11.898647161164384,1.9771293647565953,6.018142956785849,1.7642935254513987e-09,8.023473606241456,15.773820716087311,1497,40,7,8.616317217320784e-09,"11.899 (8.023, 15.774)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,msi_centered,20.794105259943713,4.735652703530088,4.390969220450478,1.1284651566393584e-05,11.51222596102474,30.075984558862686,1497,40,7,3.159702438590204e-05,"20.794 (11.512, 30.076)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,load_x_msi,11.705030901887412,2.631462530658534,4.448108519697668,8.662976253308548e-06,6.547364341796685,16.862697461978136,1497,40,7,2.5267014072149933e-05,"11.705 (6.547, 16.863)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,baseline_glucose_z,-9.349674789354307,1.917799666905264,-4.875209309240205,1.086931451057627e-06,-13.108562136488624,-5.590787442219989,1497,40,7,3.6231048368587566e-06,"-9.350 (-13.109, -5.591)"
peak_delta_2h,2h peak delta,carb_fiber_ratio_z,Carb/fiber ratio z,meal_hour_sin,5.246482851328416,3.070971863261599,1.708411240784298,0.08756006296834493,-0.7726220006643185,11.26558770332115,1497,40,7,0.11862976273130603,"5.246 (-0.773, 11.266)"
