figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
EDFigure11_Counterfactual_Meal_Redesign,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.pdf,True,18936,ok,,,
EDFigure11_Counterfactual_Meal_Redesign,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.svg,True,29459,ok,,,
EDFigure11_Counterfactual_Meal_Redesign,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.png,True,401924,ok,6549.0,3069.0,34.22583735676764
EDFigure11_Counterfactual_Meal_Redesign,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.tiff,True,1742980,ok,6549.0,3069.0,34.22583735676764
EDFigure12_Prediction_Audit,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.pdf,True,16729,ok,,,
EDFigure12_Prediction_Audit,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.svg,True,13658,ok,,,
EDFigure12_Prediction_Audit,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.png,True,328403,ok,6189.0,2949.0,56.08058675909255
EDFigure12_Prediction_Audit,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.tiff,True,1599240,ok,6189.0,2949.0,56.080473570857144
EDFigure13_Prediction_Conformal_NetBenefit,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.pdf,True,20818,ok,,,
EDFigure13_Prediction_Conformal_NetBenefit,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.svg,True,29966,ok,,,
EDFigure13_Prediction_Conformal_NetBenefit,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.png,True,511304,ok,6429.0,3009.0,43.63540844891798
EDFigure13_Prediction_Conformal_NetBenefit,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.tiff,True,1640690,ok,6429.0,3009.0,43.63540844891798
EDFigure14_External_DomainShift,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.pdf,True,24809,ok,,,
EDFigure14_External_DomainShift,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.svg,True,45407,ok,,,
EDFigure14_External_DomainShift,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.png,True,520131,ok,6429.0,3009.0,32.35839047170656
EDFigure14_External_DomainShift,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.tiff,True,1734698,ok,6429.0,3009.0,32.35839047170656
EDFigure15_Mechanism_KG_Pathways,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure15_Mechanism_KG_Pathways.pdf,True,18224,ok,,,
