cluster,minute,feature_derived_delta
high_peak_fast_recovery (3),31.0,55.43473345526904
high_peak_fast_recovery (3),32.0,56.123254977525356
high_peak_fast_recovery (3),33.0,56.764839610216065
high_peak_fast_recovery (3),34.0,57.361037109278755
high_peak_fast_recovery (3),35.0,57.9133549998439
high_peak_fast_recovery (3),36.0,58.423259627037844
high_peak_fast_recovery (3),37.0,58.892177181994604
high_peak_fast_recovery (3),38.0,59.321494703640916
high_peak_fast_recovery (3),39.0,59.71256105680693
high_peak_fast_recovery (3),40.0,60.06668788720266
high_peak_fast_recovery (3),41.0,60.38515055378778
high_peak_fast_recovery (3),42.0,60.669189039051325
high_peak_fast_recovery (3),43.0,60.920008837705666
high_peak_fast_recovery (3),44.0,61.13878182428856
high_peak_fast_recovery (3),45.0,61.32664710015552
high_peak_fast_recovery (3),46.0,61.48471182033419
high_peak_fast_recovery (3),47.0,61.61405200070223
high_peak_fast_recovery (3),48.0,61.7157133059391
high_peak_fast_recovery (3),49.0,61.790711818693225
high_peak_fast_recovery (3),50.0,61.840034790394945
high_peak_fast_recovery (3),51.0,61.864641374137015
high_peak_fast_recovery (3),52.0,61.86546334003448
high_peak_fast_recovery (3),53.0,61.8434057734666
high_peak_fast_recovery (3),54.0,61.79934775659472
high_peak_fast_recovery (3),55.0,61.73414303354087
high_peak_fast_recovery (3),56.0,61.64862065960346
high_peak_fast_recovery (3),57.0,61.543585634878006
high_peak_fast_recovery (3),58.0,61.41981952264227
high_peak_fast_recovery (3),59.0,61.27808105285788
high_peak_fast_recovery (3),60.0,61.11910671113146
high_peak_fast_recovery (3),61.0,60.943611313471855
high_peak_fast_recovery (3),62.0,60.75228856717149
high_peak_fast_recovery (3),63.0,60.54581161813297
high_peak_fast_recovery (3),64.0,60.324833584955044
high_peak_fast_recovery (3),65.0,60.0899880800842
high_peak_fast_recovery (3),66.0,59.8418897183323
high_peak_fast_recovery (3),67.0,59.58113461305301
high_peak_fast_recovery (3),68.0,59.308300860263685
high_peak_fast_recovery (3),69.0,59.02394901099288
high_peak_fast_recovery (3),70.0,58.72862253212708
high_peak_fast_recovery (3),71.0,58.42284825602425
high_peak_fast_recovery (3),72.0,58.107136819155976
high_peak_fast_recovery (3),73.0,57.78198309003344
high_peak_fast_recovery (3),74.0,57.44786658666765
high_peak_fast_recovery (3),75.0,57.10525188380757
high_peak_fast_recovery (3),76.0,56.75458901019519
high_peak_fast_recovery (3),77.0,56.3963138360709
high_peak_fast_recovery (3),78.0,56.0308484511569
high_peak_fast_recovery (3),79.0,55.65860153334179
high_peak_fast_recovery (3),80.0,55.27996870828395
high_peak_fast_recovery (3),81.0,54.00848908181359
high_peak_fast_recovery (3),82.0,52.1140769907051
high_peak_fast_recovery (3),83.0,50.27863505929408
