gene_symbol,logFC_MEHP_vs_DMSO,AveExpr,t,pvalue,padj,B
MFN2,0.0594755503280493,7.146839570177424,0.6122081980171341,0.571572296587221,0.7528510399838638,-6.992364484230291
RBM23,-0.06578806366851428,5.698476528475417,-0.6120105196185927,0.5716915185054595,0.7529111702518744,-6.992501013003094
SCAF4,0.05708658937206843,5.445517894723601,0.6119010566349944,0.5717575438231729,0.7529111702518744,-6.992576598939166
SARS2,-0.07406089299771322,4.544043235740446,-0.6118721884040597,0.5717749572502244,0.7529111702518744,-6.9925965310261615
TTC39C,-0.2846346776459418,0.10119226344404997,-0.6116088854996394,0.5719337986790127,0.7530425460036476,-6.992778292317139
PLSCR1,-0.06398007925242091,4.850969811336943,-0.6115332745233072,0.5719794175018669,0.7530425460036476,-6.992830475409663
PPM1B,0.05619089502526782,4.882995213544664,0.6113140507717845,0.572111696614166,0.7531343930701792,-6.992981742643642
NUBP2,-0.08051624363813871,5.878072423760466,-0.6112441406385903,0.572153884461559,0.7531343930701792,-6.993029971987387
MSX1,0.14398990534929684,4.654500792270513,0.6109102402420881,0.57235540764133,0.7533307314115437,-6.993260258205003
SKAP1,-0.17380777327818367,1.4717001375016492,-0.6106746755231128,0.5724976091104762,0.7533460361968344,-6.993422660306748
IRX2,-0.40153301934298274,-1.2632572759419405,-0.6106671796413878,0.5725021344707437,0.7533460361968344,-6.993427827226287
FAAP20,-0.07263453895192441,5.855141979558369,-0.6106307372767562,0.5725241355303761,0.7533460361968344,-6.993452946231013
BCL2L1,0.06572965994583643,6.441256682662381,0.6103989480723914,0.572664084798242,0.7533624272661479,-6.993612684556498
MARCH8,-0.07874131078015187,5.489110603138531,-0.6102794598327828,0.5727362379749625,0.7533624272661479,-6.993695010428877
PPP1R8,-0.061359833563092624,5.665017634679369,-0.6102493151972066,0.5727544418081838,0.7533624272661479,-6.993715777563898
SRP68,0.0659684208278122,6.6135497702148776,0.6101855931753734,0.572792923705854,0.7533624272661479,-6.993759673882019
LZTS1,-0.2456871233261718,1.8093936069283927,-0.6101764737756611,0.572798431074456,0.7533624272661479,-6.993765955667019
ZNF45,0.0817429941051023,3.6656443165914996,0.6096622706469839,0.5731090238321095,0.7536110492808121,-6.994120030736756
GLUL,0.05740649183298145,7.410082744895022,0.6096206751350921,0.5731341534947954,0.7536110492808121,-6.994148662041904
AP3S1,-0.06248303045392346,5.619862656936895,-0.6096033524682536,0.5731446190867069,0.7536110492808121,-6.994160585214358
HMGCS1,-0.07602269065750508,7.987232229404004,-0.609405953323862,0.5732638878143093,0.7536477866288827,-6.99429643475926
PON2,-0.06132702809825656,6.597049003713461,-0.6093837002704212,0.5732773341498584,0.7536477866288827,-6.994311746934644
MTERF4,-0.05904967226972373,4.528709793034123,-0.6092596236621293,0.5733523108353074,0.7536774802336195,-6.9943971146109565
PSMA6,0.06945525254434208,6.945072422484552,0.6091403670239622,0.5734243809892301,0.7537033480960315,-6.994479152289687
TLN1,-0.06092911782530598,9.881730777804435,-0.6088362246789049,0.5736082097170347,0.7538760921788108,-6.994688313460839
FN3KRP,0.06635095345524904,5.177480311549592,0.6086517412993115,0.5737197334039394,0.7539109515955373,-6.994815141481891
BAG3,-0.05964575546143607,6.747482018248471,-0.6086166347763008,0.5737409575712631,0.7539109515955373,-6.994839272745179
B3GAT1,0.07875974588769176,-0.888928708294721,0.6084482908566734,0.5738427395333288,0.7539109515955373,-6.994954971519819
TNRC6B,0.056688716273972414,5.521706171111324,0.6084456157602333,0.5738443570117568,0.7539109515955373,-6.994956809833223
RP11-849H4.2,0.1534537197981411,-0.11785193527799151,0.6077364716786428,0.5742732415041818,0.7543449726327663,-6.99544389096888
SLC1A6,-0.1767045178822202,0.46443175364429995,-0.6076837146816292,0.5743051568974258,0.7543449726327663,-6.995480108466477
ZNF559-ZNF177,0.2001729452609458,0.6655561316402515,0.6076393055144393,0.5743320231646525,0.7543449726327663,-6.995510593161285
FAM234A,-0.06610431333701798,6.386279736048798,-0.607438965168727,0.5744532335442929,0.7544352946657109,-6.995648093636989
NCK1,-0.06113832758283283,4.560103029168119,-0.6072585711718568,0.5745623902798573,0.7545097714802399,-6.995771871670701
ABHD18,0.08478361702754773,3.146788249423147,0.606723113658316,0.5748864766196513,0.75486645241423,-6.9961390960490295
