exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_7,-0.1509496720537793,0.09703404567156106,-1.5556361791273838,0.1197946305151823,-0.341136401570039,0.03923705746248038,5261,90,0.11512301316652296,0.19145748984122885
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_2,0.02858015336443142,0.07093189360004522,0.4029238740697203,0.6870042276689433,-0.1104463580916572,0.16760666482052006,5261,90,0.11512301316652296,0.7319866473377431
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_3,0.06107191480794577,0.05774032184312619,1.0576995911777411,0.29019242170615084,-0.05209911600458156,0.1742429456204731,5261,90,0.11512301316652296,0.38477365544741476
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_4,0.11159153509731493,0.06030652562324631,1.850405639258048,0.06425510683993274,-0.0066092551242478426,0.2297923253188777,5261,90,0.11512301316652296,0.11463452615629197
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_5,-0.07716780583652656,0.060590328697669324,-1.273599392760761,0.20280542756827105,-0.19592485008395844,0.04158923841090531,5261,90,0.11512301316652296,0.28724426275398085
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_7,-0.38930900870120294,0.07490793398147484,-5.197166548439065,2.0234906056069437e-07,-0.5361285593048937,-0.24248945809751227,5261,90,0.11512301316652296,1.2935886371558676e-06
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_9,-0.6187910674630759,0.2159231146594375,-2.865793541553241,0.0041596542924297805,-1.0420003721955733,-0.19558176273057837,5261,90,0.11512301316652296,0.010061866464120685
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,cycle_2015-2016,-0.025630490063688116,0.04962601906648727,-0.516472821028607,0.6055242168018671,-0.12289748743400315,0.07163650730662692,5261,90,0.11512301316652296,0.6577486126188212
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,cycle_2017-2018,0.07978626064888078,0.053159450677943955,1.500885724576992,0.13338512107633185,-0.024406262679889365,0.18397878397765094,5261,90,0.11512301316652296,0.20943804098827543
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,Intercept,0.33687353901552347,0.06887203365765586,4.891296526686436,1.001739153532188e-06,0.201884353046518,0.47186272498452897,5261,90,0.12132940443362628,5.603478390070677e-06
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,pct_oxidative_10_z,0.09702252294908502,0.019455908179697085,4.986789722328736,6.13908185816707e-07,0.05888894291687873,0.1351561029812913,5261,90,0.12132940443362628,3.507113784931613e-06
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDAGEYR,0.21384048792299892,0.016946652530257983,12.618450017853974,1.670773699579031e-36,0.18062504896369327,0.24705592688230457,5261,90,0.12132940443362628,1.1215068458424245e-34
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,INDFMPIR,0.017041316177840035,0.0178246216128982,0.9560548632072307,0.33904451717127204,-0.017894942183440433,0.051977574539120504,5261,90,0.12132940443362628,0.44015973128518726
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,DR1TKCAL,0.007102464506519877,0.014447478999691914,0.49160580241517116,0.6229980407346105,-0.021214594332876275,0.035419523345916026,5261,90,0.12132940443362628,0.6731387281176777
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,ln_URXUCR,0.05937233667107905,0.01824030043885837,3.2550087028498016,0.0011338889116953646,0.023621347810916647,0.09512332553124145,5261,90,0.12132940443362628,0.003138651265878406
