GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions
ERV3-1-ZNF117,109504726,1,1,1,affects^cotreatment|affects^expression
ERVFRD-1,405754,1,1,1,increases^expression
ERVW-1,30816,1,1,1,increases^expression
ESRP1,54845,1,1,1,increases^expression
ESRRB,2103,1,1,1,decreases^expression
ETV1,2115,1,1,1,decreases^expression
ETV3L,440695,1,1,1,decreases^expression
ETV5,2119,1,1,1,increases^expression
EXD3,54932,1,1,1,decreases^expression
EXOSC8,11340,1,1,1,decreases^expression
EXPH5,23086,1,1,1,increases^expression
EZH2,2146,1,1,1,decreases^expression
EZR,7430,1,1,1,increases^expression
F10,2159,1,1,1,decreases^expression
F11R,50848,1,1,1,increases^expression
F2RL2,2151,1,1,1,decreases^expression
FABP1,2168,1,1,1,decreases^expression|decreases^reaction
FABP3,2170,1,1,1,increases^expression
FADS1,3992,1,1,1,increases^expression
FADS3,3995,1,1,1,increases^expression
FAH,2184,1,1,1,decreases^expression
FAM107A,11170,1,1,1,decreases^expression
FAM107B,83641,1,1,1,increases^expression
FAM117B,150864,1,1,1,increases^expression
FAM120A2P,445577,1,1,1,decreases^expression
FAM120AOS,158293,1,1,1,decreases^expression
FAM124A,220108,1,1,1,decreases^expression
FAM163A,148753,1,1,1,decreases^expression
FAM177A1,283635,1,1,1,decreases^expression
FAM180A,389558,1,1,1,increases^expression
FAM187B,148109,1,1,1,decreases^expression
FAM20A,54757,1,1,1,increases^expression
FAM216A,29902,1,1,1,decreases^expression
FAM228A,653140,1,1,1,decreases^expression
FAM241A,132720,1,1,1,increases^expression
FAM26F,421744,1,1,1,increases^expression
FAM27E3,100131997,1,1,1,decreases^expression
FAM43B,163933,1,1,1,decreases^expression
FAM65B,421003,1,1,1,increases^expression
FAM69C,421014,1,1,1,decreases^expression
FAM98A,25940,1,1,1,decreases^expression
FANCD2,2177,1,1,1,increases^expression
FAS,355,1,1,1,increases^expression
FAT4,79633,1,1,1,decreases^expression
FBLIM1,54751,1,1,1,increases^expression
FBLN1,2192,1,1,1,increases^expression
FBLN5,10516,1,1,1,increases^expression
FBP2,8789,1,1,1,decreases^expression
FBXL16,146330,1,1,1,decreases^expression
FBXL21,213311,1,1,1,increases^expression
FBXO46,23403,1,1,1,increases^expression
FCER1G,2207,1,1,1,increases^expression
FDX1,2230,1,1,1,decreases^expression
FERMT1,55612,1,1,1,increases^expression
FEZ1,9638,1,1,1,decreases^expression
FEZF2,55079,1,1,1,decreases^expression
FGD4,121512,1,1,1,decreases^expression
FGF1,2246,1,1,1,increases^expression
FGF14,2259,1,1,1,decreases^expression
FGF18,8817,1,1,1,decreases^expression
FGF19,9965,1,1,1,decreases^expression
FGF4,2249,1,1,1,decreases^expression
FGF7,2252,1,1,1,decreases^expression
FGF8,2253,1,1,1,decreases^expression
FHL2,2274,1,1,1,increases^expression
FITM2,128486,1,1,1,decreases^expression
FKBP14,55033,1,1,1,increases^expression
FKBP15,23307,1,1,1,decreases^expression
FKBP4,2288,1,1,1,increases^expression
FKBP5,2289,1,1,1,increases^expression
FKBP9,11328,1,1,1,decreases^expression
FLI1,2313,1,1,1,increases^expression
FLNB,2317,1,1,1,increases^expression
FLNC,2318,1,1,1,increases^expression
FLT1,2321,1,1,1,increases^expression
FLT4,2324,1,1,1,decreases^expression
FMN2,56776,1,1,1,decreases^expression
FNDC1,84624,1,1,1,increases^expression
FNDC5,252995,1,1,1,decreases^expression
FOS,2353,1,1,1,decreases^expression
FOSL1,8061,1,1,1,increases^expression
FOSL2,2355,1,1,1,increases^expression
FOXD1,2297,1,1,1,increases^expression
FOXE3,2301,1,1,1,decreases^expression
FOXG1,2290,1,1,1,decreases^expression
FOXH1,8928,1,1,1,decreases^expression
FOXJ2,55810,1,1,1,increases^expression
FOXL2,668,1,1,1,increases^expression
FOXN4,121643,1,1,1,decreases^expression
FOXO1,2308,1,1,1,decreases^phosphorylation
FOXP2,93986,1,1,1,decreases^expression
FOXQ1,94234,1,1,1,increases^expression
FREM2,341640,1,1,1,decreases^expression
FRMD3,257019,1,1,1,increases^expression
FRRS1L,23732,1,1,1,decreases^expression
FRZB,2487,1,1,1,decreases^expression
FSBP,100861412,1,1,1,decreases^expression
FSCB,84075,1,1,1,decreases^expression
FSHB,2488,1,1,1,decreases^reaction|increases^abundance
FTHL17,53940,1,1,1,increases^expression
FTL,2512,1,1,1,decreases^expression
FURIN,5045,1,1,1,increases^expression
FXYD5,53827,1,1,1,increases^expression
FYB2,199920,1,1,1,decreases^expression
FZD6,8323,1,1,1,decreases^expression
GAB1,2549,1,1,1,decreases^expression
GABRB1,2560,1,1,1,decreases^expression
GABRE,2564,1,1,1,increases^expression
GABRP,2568,1,1,1,increases^expression
GAD1,2571,1,1,1,decreases^expression
GADD45G,10912,1,1,1,increases^expression
GALNT16,57452,1,1,1,decreases^expression
GALNT8,26290,1,1,1,decreases^expression
GALP,85569,1,1,1,decreases^expression
GAPDH,2597,1,1,1,increases^expression
GARIN1B,84691,1,1,1,increases^expression
GARIN5A,112703,1,1,1,decreases^expression
GAS7,8522,1,1,1,increases^expression
GATA5,140628,1,1,1,decreases^expression
GBP2,2634,1,1,1,increases^expression
GCNT1,2650,1,1,1,decreases^expression
GCNT4,51301,1,1,1,increases^expression
GDF10,2662,1,1,1,decreases^expression
GDF3,9573,1,1,1,decreases^expression
GDF6,392255,1,1,1,increases^expression
GDNF,2668,1,1,1,increases^expression
GDPD2,54857,1,1,1,decreases^expression
GET1,7485,1,1,1,decreases^expression
GET1-SH3BGR,106865373,1,1,1,decreases^expression
GFOD1,54438,1,1,1,increases^expression
GFOD2,81577,1,1,1,decreases^expression
GGTLC1,92086,1,1,1,decreases^expression
GGTLC2,91227,1,1,1,decreases^expression
GHR,2690,1,1,1,increases^expression
GIP,2695,1,1,1,increases^expression
GIPC3,126326,1,1,1,decreases^expression
GJA4,2701,1,1,1,decreases^expression
GJA5,2702,1,1,1,increases^expression
GLB1L3,112937,1,1,1,decreases^expression
GLI3,2737,1,1,1,affects^expression
GLIPR2,152007,1,1,1,increases^expression
GLRA1,2741,1,1,1,decreases^expression
GLRX,2745,1,1,1,increases^expression
GLRX2,51022,1,1,1,increases^expression
GLT8D2,83468,1,1,1,decreases^expression
GLYATL2,219970,1,1,1,decreases^expression
GNA14,9630,1,1,1,increases^expression
GNG11,2791,1,1,1,increases^expression
GNG2,54331,1,1,1,increases^expression
GNG7,2788,1,1,1,decreases^expression
GOLGA6A,342096,1,1,1,decreases^expression
GOLM1,51280,1,1,1,decreases^expression
GOLPH3,64083,1,1,1,decreases^expression
GPAT2,150763,1,1,1,decreases^expression
GPC3,2719,1,1,1,increases^expression
GPD1,2819,1,1,1,increases^expression
GPER1,2852,1,1,1,decreases^expression
GPM6A,2823,1,1,1,decreases^expression
GPM6B,2824,1,1,1,increases^expression
GPR146,115330,1,1,1,decreases^expression
GPR173,54328,1,1,1,decreases^expression
GPR174,84636,1,1,1,decreases^expression
GPR87,53836,1,1,1,increases^expression
GPRC5B,51704,1,1,1,decreases^expression
GRAMD1B,57476,1,1,1,decreases^expression
GRAMD2A,196996,1,1,1,increases^expression
GRB14,2888,1,1,1,increases^expression
GRB7,2886,1,1,1,increases^expression
GREB1,9687,1,1,1,decreases^expression
GRHL2,79977,1,1,1,increases^expression
GRIA1,2890,1,1,1,decreases^expression
GRIA3,2892,1,1,1,decreases^expression
GRID2,2895,1,1,1,decreases^expression
GRIK2,2898,1,1,1,decreases^expression
GRIK3,2899,1,1,1,decreases^expression
GRIN2A,2903,1,1,1,decreases^expression
GRM5,2915,1,1,1,decreases^expression
GRP,2922,1,1,1,decreases^expression
GRPEL2,134266,1,1,1,increases^expression
GSAP,54103,1,1,1,decreases^expression
GSN,2934,1,1,1,increases^expression
GSTA1,2938,1,1,1,increases^expression
GSTM3,2947,1,1,1,decreases^expression
GSTO1,9446,1,1,1,increases^expression
GSTO2,119391,1,1,1,decreases^expression
GSTP1,2950,1,1,1,affects^response to substance|increases^abundance
GUCY1B3,422408,1,1,1,decreases^expression
GUCY2F,2986,1,1,1,decreases^expression
GYPB,2994,1,1,1,decreases^expression
GYS1,2997,1,1,1,increases^phosphorylation
H1-4,3008,1,1,1,decreases^expression
H1F0,14958,1,1,1,decreases^expression
H2AJ,55766,1,1,1,increases^expression
H3-3A,3020,1,1,1,decreases^expression
H4C11,8363,1,1,1,decreases^expression
H4C12,8362,1,1,1,increases^expression
H4C4,8360,1,1,1,decreases^expression
H4C7,8369,1,1,1,increases^expression
H6PD,9563,1,1,1,decreases^expression
HACD2,201562,1,1,1,decreases^expression
HADHA,3030,1,1,1,increases^expression
HADHB,3032,1,1,1,increases^expression
HAND1,9421,1,1,1,increases^expression
HAS1,3036,1,1,1,decreases^expression
HAT1,8520,1,1,1,decreases^expression
HAUS5,23354,1,1,1,decreases^expression
HBA2,3040,1,1,1,increases^expression
HBQ1,3049,1,1,1,decreases^expression
HBS1L,10767,1,1,1,decreases^expression
HCAR1,27198,1,1,1,increases^expression
HCST,10870,1,1,1,increases^expression
HDAC3,8841,1,1,1,decreases^expression
HDAC5,10014,1,1,1,decreases^expression
HDAC9,9734,1,1,1,decreases^expression
HDDC2,51020,1,1,1,decreases^expression
HDGF,3068,1,1,1,decreases^expression
HEATR5A,25938,1,1,1,increases^expression
HEPH,9843,1,1,1,decreases^expression
HES1,3280,1,1,1,decreases^expression
HES2,54626,1,1,1,increases^expression
HES5,388585,1,1,1,decreases^expression
HEY1,23462,1,1,1,decreases^expression
HEYL,26508,1,1,1,decreases^expression
HFM1,164045,1,1,1,decreases^expression
HGFAC,3083,1,1,1,decreases^expression
HHIP,64399,1,1,2,increases^expression
HHIPL2,79802,1,1,1,decreases^expression
HIF3A,64344,1,1,1,decreases^expression
HIGD1A,25994,1,1,1,increases^expression
HILPDA,29923,1,1,1,increases^expression
HIP1,3092,1,1,1,decreases^expression
HK2,3099,1,1,1,decreases^expression
HLA-DMB,3109,1,1,1,decreases^expression
HLA-DQB1,3119,1,1,1,increases^expression
HLA-E,3133,1,1,1,increases^expression
HMCN1,83872,1,1,2,decreases^expression
HMGA2,8091,1,1,1,increases^expression
HMGCLL1,54511,1,1,1,decreases^expression
HMGCR,3156,1,1,1,increases^expression
HMGCS2,3158,1,1,1,decreases^expression
HMOX2,3163,1,1,1,increases^expression
HNMT,3176,1,1,1,increases^expression
HNRNPH1,3187,1,1,1,increases^expression
HOPX,84525,1,1,1,increases^expression
HOXA-AS3,100133311,1,1,1,decreases^expression
HOXA13,3209,1,1,1,decreases^expression
HOXA3,3200,1,1,1,decreases^expression
HOXA5,3202,1,1,1,decreases^expression
HOXB1,3211,1,1,1,decreases^expression
HOXB7,3217,1,1,1,increases^expression
HOXB9,3219,1,1,1,increases^expression
HPCAL1,3241,1,1,1,increases^expression
HPDL,84842,1,1,1,decreases^expression
HPSE2,60495,1,1,1,decreases^expression
HRCT1,646962,1,1,1,decreases^expression
HS3ST1,9957,1,1,1,increases^expression
HS3ST3A1,9955,1,1,1,increases^expression
HSD11B1,3290,1,1,1,increases^expression
HSD11B2,3291,1,1,1,decreases^activity
HSD17B1,3292,1,1,1,increases^expression
HSD17B2,3294,1,1,1,decreases^expression
HSD17B4,3295,1,1,1,increases^expression
HSD17B6,8630,1,1,1,decreases^expression
HSD17B7,51478,1,1,1,increases^expression
HSD17B8,7923,1,1,1,decreases^expression
HSF2BP,11077,1,1,1,decreases^expression
HSFX2,100130086,1,1,1,decreases^expression
HSPA1B,3304,1,1,1,increases^expression
HSPA2,3306,1,1,1,increases^expression
HSPA4L,22824,1,1,1,increases^expression
HSPB1,3315,1,1,1,decreases^expression
HSPB8,26353,1,1,1,increases^expression
HSPB9,94086,1,1,1,decreases^expression
HSPD1,3329,1,1,1,affects^cotreatment|decreases^expression
HSPE1-MOB4,100529241,1,1,1,increases^expression
HSPH1,10808,1,1,1,increases^expression
HTR1E,3354,1,1,1,increases^expression
HTR7,3363,1,1,1,increases^expression
HTRA3,94031,1,1,1,decreases^expression
HTRA4,203100,1,1,1,increases^expression
HVCN1,84329,1,1,1,decreases^expression
HYAL4,23553,1,1,1,decreases^expression
HYDIN,54768,1,1,1,decreases^expression
IDO1,3620,1,1,1,decreases^expression
IER3,8870,1,1,1,increases^expression
IFFO2,126917,1,1,1,increases^expression
IFIT1,3434,1,1,1,decreases^expression
IFITM1,8519,1,1,1,decreases^expression
IFT57,55081,1,1,1,decreases^expression
IGF1,3479,1,1,1,increases^expression
IGF2BP2,10644,1,1,1,decreases^expression
IGF2R,3482,1,1,1,decreases^methylation
IGFBP1,3484,1,1,1,affects^cotreatment|decreases^expression
IGFBP4,3487,1,1,1,increases^expression
IGLL1,3543,1,1,1,decreases^expression
IGSF10,285313,1,1,1,increases^expression
IGSF21,84966,1,1,1,decreases^expression
IGSF22,283284,1,1,1,decreases^expression
IKBKG,8517,1,1,1,decreases^expression
IKZF1,10320,1,1,1,decreases^expression
IKZF3,22806,1,1,1,decreases^expression
IKZF4,64375,1,1,1,decreases^expression
IL10RA,3587,1,1,1,decreases^expression
IL17RD,54756,1,1,1,decreases^expression
IL1RL2,8808,1,1,1,decreases^expression
IL23R,149233,1,1,1,decreases^expression
IL2RB,3560,1,1,1,increases^expression
IL32,9235,1,1,1,increases^expression
IL3RA,3563,1,1,1,decreases^expression
IL4I1,259307,1,1,1,decreases^expression
IL4R,3566,1,1,1,increases^expression
INF2,64423,1,1,1,increases^expression
ING4,51147,1,1,1,decreases^expression
INHA,3623,1,1,1,increases^expression
INHBA,3624,1,1,1,increases^expression
INHBE,83729,1,1,1,increases^expression
INPP5F,22876,1,1,1,decreases^expression
INS1,16333,1,1,1,affects^cotreatment|increases^expression|increases^reaction
INSIG1,3638,1,1,1,increases^expression
INSM1,3642,1,1,1,decreases^expression
INSR,3643,1,1,1,decreases^expression
INSYN2B,100131897,1,1,1,increases^expression
IRAG1,10335,1,1,1,decreases^expression
IRAK3,11213,1,1,1,decreases^expression
IRF3,3661,1,1,1,increases^expression
IRF6,3664,1,1,1,increases^expression
IRS4,8471,1,1,1,decreases^expression
IRX4,50805,1,1,1,increases^expression
ISG15,9636,1,1,1,increases^expression
ISL1,3670,1,1,1,increases^expression
ISYNA1,51477,1,1,1,increases^expression
ITGA10,8515,1,1,1,decreases^expression
ITGA11,22801,1,1,1,increases^expression
ITGA3,3675,1,1,1,increases^expression
ITGA6,3655,1,1,1,increases^expression
ITGA7,3679,1,1,1,decreases^expression
ITGB3,3690,1,1,1,increases^expression
ITIH5,80760,1,1,1,increases^expression
ITM2A,9452,1,1,2,increases^expression
ITPKC,80271,1,1,1,increases^expression
ITPR3,3710,1,1,1,increases^expression
IZUMO4,113177,1,1,1,decreases^expression
JAG1,182,1,1,1,increases^expression
JARID2,3720,1,1,1,increases^expression
JCAD,57608,1,1,1,increases^expression
JMJD6,23210,1,1,1,increases^expression
JMJD7-PLA2G4B,8681,1,1,2,decreases^expression
JUP,3728,1,1,1,increases^expression
KATNAL2,83473,1,1,1,decreases^expression
KCNA1,3736,1,1,1,decreases^expression
KCNA4,3739,1,1,1,decreases^expression
KCNA5,3741,1,1,1,decreases^expression
KCNAB3,9196,1,1,1,decreases^expression
KCNC1,3746,1,1,1,decreases^expression
KCND1,3750,1,1,1,decreases^expression
KCND3,3752,1,1,1,decreases^expression
KCNE1,3753,1,1,1,increases^expression
KCNG1,3755,1,1,1,increases^expression
KCNG2,26251,1,1,1,increases^expression
KCNG3,170850,1,1,1,decreases^expression
KCNIP1,30820,1,1,1,decreases^expression
KCNJ12,3768,1,1,1,decreases^expression
KCNJ2,3759,1,1,1,increases^expression
KCNJ4,3761,1,1,1,decreases^expression
KCNK10,54207,1,1,1,decreases^expression
KCNK2,3776,1,1,1,decreases^expression
KCNK6,9424,1,1,1,increases^expression
KCNMA1,3778,1,1,1,increases^expression
KCNN1,3780,1,1,1,decreases^expression
KCNN2,3781,1,1,1,decreases^expression
KCNN3,3782,1,1,1,decreases^expression
KCNQ5,56479,1,1,1,increases^expression
KCNT2,343450,1,1,1,decreases^expression
KCP,375616,1,1,1,decreases^expression
KCTD11,147040,1,1,1,increases^expression
KCTD12,115207,1,1,1,decreases^expression
KDELR2,11014,1,1,1,increases^expression
KDELR3,11015,1,1,1,increases^expression
KDM5C,8242,1,1,1,decreases^expression
KDM6B,23135,1,1,1,decreases^expression
KDM7A,80853,1,1,1,increases^expression
KEL,3792,1,1,1,decreases^expression
KHDC1,80759,1,1,1,decreases^expression
KHDRBS2,202559,1,1,1,decreases^expression
KIAA0040,9674,1,1,1,increases^expression
KIF12,113220,1,1,1,decreases^expression
KIF21A,55605,1,1,1,increases^expression
KIF5A,3798,1,1,1,decreases^expression
KIF7,374654,1,1,1,increases^expression
KIRREL2,84063,1,1,1,decreases^expression
KIRREL3,84623,1,1,1,decreases^expression
KISS1,3814,1,1,1,increases^expression
KISS1R,84634,1,1,1,decreases^expression
KLF11,8462,1,1,1,increases^expression
KLF15,28999,1,1,1,decreases^expression
KLF17,128209,1,1,1,increases^expression
KLF5,688,1,1,1,increases^expression
KLHL10,317719,1,1,1,decreases^expression
KLHL14,57565,1,1,1,decreases^expression
KLHL23,151230,1,1,1,increases^expression
KLHL4,56062,1,1,1,decreases^expression
KLK12,43849,1,1,1,decreases^expression
KLK4,9622,1,1,1,decreases^expression
KLK7,5650,1,1,1,decreases^expression
KLRG1,10219,1,1,1,decreases^expression
KNDC1,85442,1,1,1,decreases^expression
KNOP1,400506,1,1,1,increases^expression
KPNA3,3839,1,1,1,decreases^expression
KRIT1,889,1,1,1,decreases^expression
KRT17,3872,1,1,1,increases^expression
KRT18,3875,1,1,1,increases^expression
KRT19,3880,1,1,1,increases^expression
KRT23,25984,1,1,1,increases^expression
KRT31,3881,1,1,1,decreases^expression
KRT33B,3884,1,1,1,decreases^expression
KRT34,3885,1,1,1,increases^expression
KRT35,3886,1,1,1,decreases^expression
KRT8,3856,1,1,1,increases^expression
KRT83,3889,1,1,1,increases^expression
KRTAP13-1,140258,1,1,1,decreases^expression
KRTAP2-3,730755,1,1,1,increases^expression
KRTCAP3,200634,1,1,1,increases^expression
KRTDAP,388533,1,1,1,decreases^expression
KSR2,283455,1,1,1,decreases^expression
L1CAM,3897,1,1,1,increases^expression
L3MBTL4,91133,1,1,1,decreases^expression
LAG3,3902,1,1,1,decreases^expression
LAGE3,8270,1,1,1,decreases^expression
LAMA4,3910,1,1,1,increases^expression
LAMP3,27074,1,1,1,decreases^expression
LAMP5,24141,1,1,1,decreases^expression
LAMTOR2,28956,1,1,1,decreases^expression
LASP1,3927,1,1,1,increases^expression
LATS1,9113,1,1,1,decreases^reaction|increases^stability
LBR,3930,1,1,1,increases^expression
LCN15,389812,1,1,1,decreases^expression
LDB3,11155,1,1,1,decreases^expression
LDH,45880,1,1,1,increases^secretion
LDLR,3949,1,1,1,increases^expression
LECT2,3950,1,1,1,increases^expression
LENG8,114823,1,1,1,affects^expression
LEP,3952,1,1,1,decreases^secretion
LEPROTL1,23484,1,1,1,decreases^expression
LETM2,137994,1,1,1,decreases^expression
LGALS1,3956,1,1,1,increases^expression
LGALS12,85329,1,1,1,increases^expression
LGALS14,56891,1,1,1,increases^expression
LGALS16,148003,1,1,1,increases^expression
LGALS2,3957,1,1,1,increases^expression
LGR5,8549,1,1,1,decreases^expression
LHCGR,3973,1,1,1,decreases^expression
LHFPL1,340596,1,1,1,decreases^expression
LHFPL4,375323,1,1,1,decreases^expression
LHFPL6,10186,1,1,1,increases^expression
LHPP,64077,1,1,1,decreases^expression
LHX2,9355,1,1,1,decreases^expression
LHX5,64211,1,1,1,decreases^expression
LHX9,56956,1,1,1,decreases^expression
LIF,3976,1,1,2,increases^expression
LIFR,3977,1,1,1,increases^expression
LIG3,3980,1,1,1,increases^expression
LIMA1,51474,1,1,1,increases^expression
LIMS1,3987,1,1,1,increases^expression
LIMS3,96626,1,1,1,increases^expression
LIN37,55957,1,1,1,increases^expression
LIN7A,8825,1,1,1,decreases^expression
LINC00511,400619,1,1,1,increases^expression
LINC01159,102682016,1,1,1,affects^expression
LINC01588,283551,1,1,1,increases^expression
LINC01638,105372978,1,1,1,decreases^expression
LINC02593,100130417,1,1,1,decreases^expression
LINC02656,399716,1,1,1,decreases^expression
LIPE,3991,1,1,1,increases^expression
LIX1,167410,1,1,1,decreases^expression
LIX1L,128077,1,1,1,decreases^expression
LMNA,4000,1,1,1,increases^expression
LMO3,55885,1,1,1,decreases^expression
LNP1,348801,1,1,1,increases^expression
LOXL2,4017,1,1,1,increases^expression
LOXL3,84695,1,1,1,affects^methylation|increases^abundance
LPAR4,2846,1,1,1,decreases^expression
LPAR5,57121,1,1,1,increases^expression
LPCAT3,10162,1,1,1,increases^expression
LRATD2,157638,1,1,1,decreases^expression
LRCH1,23143,1,1,1,increases^expression
LRIG1,26018,1,1,1,decreases^expression
LRP10,26020,1,1,1,increases^expression
LRP4,4038,1,1,1,decreases^expression
LRRC10B,390205,1,1,1,decreases^expression
LRRC3B,116135,1,1,1,increases^expression
LRRC49,54839,1,1,1,decreases^expression
LRRC70,100130733,1,1,1,decreases^expression
LRRC71,149499,1,1,1,decreases^expression
LRRN4,164312,1,1,1,increases^expression
LRRTM4,80059,1,1,1,decreases^expression
LSAMP,4045,1,1,1,decreases^expression
LSM14B,149986,1,1,1,increases^expression
LTBP2,4053,1,1,1,decreases^expression
LUC7L3,51747,1,1,1,affects^expression
LUZP2,338645,1,1,1,decreases^expression
LY6D,8581,1,1,1,increases^expression
LY6E,4061,1,1,1,increases^expression
LYN,4067,1,1,1,increases^expression
LYPD1,116372,1,1,1,increases^expression
MAB21L1,4081,1,1,1,decreases^expression
MACF1,23499,1,1,1,decreases^expression
MACIR,90355,1,1,1,increases^expression
MAFA,389692,1,1,1,affects^expression
MAFF,23764,1,1,1,increases^expression
MAGEA8,4107,1,1,1,decreases^expression
MAGED4,728239,1,1,1,decreases^expression
MAGEE2,139599,1,1,1,decreases^expression
MAGOHB,55110,1,1,1,decreases^expression
MAL,4118,1,1,1,decreases^expression
MALAT1,378938,1,1,1,decreases^expression
MALL,7851,1,1,1,decreases^expression
MAMDC2,256691,1,1,1,decreases^expression
MAMDC4,158056,1,1,1,decreases^expression
MAMLD1,10046,1,1,1,increases^expression
MAN2A2,4122,1,1,1,decreases^expression
MAOB,4129,1,1,1,decreases^expression
MAP4K5,11183,1,1,1,decreases^expression
MAP6,4135,1,1,1,decreases^expression
MAPK10,5602,1,1,1,decreases^expression
MAPK15,225689,1,1,1,decreases^expression
MARCHF4,57574,1,1,1,increases^expression
MARS1,4141,1,1,1,increases^expression
MARVELD3,91862,1,1,1,increases^expression
MASP1,5648,1,1,1,decreases^expression
MATN2,4147,1,1,1,decreases^expression
MAZ,4150,1,1,1,increases^expression
MBOAT1,154141,1,1,1,increases^expression
MBOAT2,129642,1,1,1,decreases^expression
MBP,4155,1,1,1,increases^expression
MCF2L,23263,1,1,1,decreases^expression
MCHR1,2847,1,1,1,increases^expression
MCM2,4171,1,1,1,increases^expression
MCM4,4173,1,1,1,increases^expression
MCM5,4174,1,1,1,increases^expression
MCM6,4175,1,1,1,increases^expression
MCTP1,79772,1,1,1,increases^expression
MCTP2,55784,1,1,1,increases^expression
ME1,4199,1,1,1,increases^expression
MECOM,2122,1,1,1,decreases^expression
MED1,5469,1,1,1,affects^binding|increases^reaction
MED18,54797,1,1,1,increases^expression
MED19,219541,1,1,1,decreases^expression
MED23,9439,1,1,1,decreases^expression
MED4,29079,1,1,1,decreases^expression
MEOX1,4222,1,1,1,increases^expression
MESP2,145873,1,1,1,decreases^expression
MEST,4232,1,1,1,decreases^expression
MET,4233,1,1,1,increases^expression
MEX3B,84206,1,1,1,decreases^expression
MFNG,4242,1,1,1,decreases^expression
MGA,23269,1,1,1,increases^expression
MGARP,84709,1,1,1,decreases^expression
MGST2,4258,1,1,1,increases^expression
MGST3,4259,1,1,1,increases^expression
MIB1,57534,1,1,1,decreases^expression
MICAL2,9645,1,1,1,increases^expression
MID1,4281,1,1,1,decreases^expression
MINAR2,100127206,1,1,1,decreases^expression
MIR101,100187678,1,1,1,increases^expression
MIR10B,406903,1,1,1,increases^expression
MIR125A,406910,1,1,1,decreases^expression
MIR125B,102466056,1,1,1,increases^expression
MIR126,406913,1,1,1,increases^expression
MIR127,406914,1,1,1,decreases^expression
MIR1307,100302174,1,1,1,decreases^expression
MIR141,406933,1,1,1,affects^cotreatment|increases^expression
MIR142,406934,1,1,1,affects^secretion|increases^abundance
MIR143,406935,1,1,1,increases^expression
MIR145,406937,1,1,1,increases^expression
MIR148A,406940,1,1,1,increases^expression
MIR149,406941,1,1,1,decreases^expression
MIR15A,406948,1,1,1,affects^secretion|increases^abundance
MIR181D,574457,1,1,1,decreases^expression
MIR184,406960,1,1,1,affects^cotreatment|affects^expression
MIR186,406962,1,1,1,decreases^expression
MIR191,406966,1,1,1,decreases^expression
MIR193B,574455,1,1,1,decreases^expression
MIR199A,102466858,1,1,1,increases^expression
MIR22,407004,1,1,1,decreases^expression
MIR221,407006,1,1,1,decreases^expression
MIR222,407007,1,1,1,decreases^expression
MIR224,407009,1,1,1,decreases^expression
MIR26B,407017,1,1,1,affects^secretion|increases^abundance
MIR28,407020,1,1,1,decreases^expression
MIR29C,407026,1,1,1,affects^secretion|increases^abundance
MIR30B,407030,1,1,1,decreases^expression
MIR30C,791063,1,1,1,decreases^expression
MIR31,407035,1,1,1,decreases^expression
MIR3184,100423003,1,1,1,decreases^expression
MIR320A,407037,1,1,1,decreases^expression
MIR345,442910,1,1,1,affects^secretion|increases^abundance
MIR34AHG,106614088,1,1,1,increases^expression
MIR370,442915,1,1,1,decreases^expression
MIR378A,494327,1,1,1,decreases^expression
MIR423,494335,1,1,1,decreases^expression
MIR451A,574411,1,1,1,affects^secretion|increases^abundance
MIR532,693124,1,1,1,increases^expression
MIR572,693157,1,1,1,affects^secretion|increases^abundance
MIR638,693223,1,1,1,affects^secretion|increases^abundance
MIR675,100033819,1,1,1,affects^cotreatment|decreases^expression
MIR744,100126313,1,1,1,decreases^expression
MIR769,768217,1,1,1,decreases^expression
MIR942,100126331,1,1,1,affects^secretion|increases^abundance
MIR99A,407055,1,1,1,increases^expression
MITF,4286,1,1,1,decreases^expression
MLNR,2862,1,1,1,decreases^expression
MLXIPL,51085,1,1,1,affects^expression
MMD,23531,1,1,1,increases^expression
MME,4311,1,1,1,decreases^expression
MMP16,4325,1,1,1,decreases^expression
MMP23B,8510,1,1,1,decreases^expression
MMP28,79148,1,1,1,increases^expression
MNAT1,4331,1,1,1,increases^expression
MNT,4335,1,1,1,increases^expression
MOGAT1,116255,1,1,1,decreases^expression
MORC1,27136,1,1,1,decreases^expression
MOS,4342,1,1,1,increases^expression
MPC1,51660,1,1,1,increases^expression
MPL,4352,1,1,1,decreases^expression
MPP1,4354,1,1,1,increases^expression
MPP5,423281,1,1,1,decreases^expression
MPZL1,9019,1,1,1,increases^expression
MPZL3,196264,1,1,1,increases^expression
MRC1,4360,1,1,1,affects^cotreatment|decreases^expression
MRGBP,55257,1,1,1,increases^expression
MRM1,79922,1,1,1,decreases^expression
MROH8,140699,1,1,1,decreases^expression
MRPL32,64983,1,1,1,decreases^expression
MRPL35,51318,1,1,1,increases^expression
MRPL47,57129,1,1,1,decreases^expression
MRPL54,116541,1,1,1,decreases^expression
MRTO4,51154,1,1,1,increases^expression
MSANTD3,91283,1,1,1,decreases^expression
MSI2,124540,1,1,1,decreases^expression
MSLN,10232,1,1,1,decreases^expression
MSMO1,6307,1,1,1,decreases^expression
MSRA,4482,1,1,1,decreases^expression
MT-RNR2,17725,1,1,1,decreases^expression
MT1G,4495,1,1,1,increases^expression
MT1H,4496,1,1,1,increases^expression
